traceId,decision
d191ea4d867c4663a4c3efe3db67fb33.44.16457556392850193,True
2e675902ffcf4d1f88a13d01f075afd6.45.16436707023038751,True
2827d95848a54704a80ca19e93e8a484.40.16450989270520075,True
3453ca5c4528427587f32cd7f6ca5b73.38.16440831806020129,False
34968177ab304796b14ce6ae31f4a942.43.16444992032010441,True
b3911a0c1f804406943e09033500c6e7.39.16458084078520077,True
9436f09cdf5041aebfe8366490cf8c39.35.16440847171098437,False
342805eb5b484d26a1d10e6c31dfc878.41.16441056906340613,True
81d1de16d4174ab2858533502c163935.46.16450838203320353,True
34e6e19354b04d9ab67cb658fc3df19f.43.16441061254603223,False
6c4411ff34ab4fc9be270a86ec9c9fba.43.16451006293420049,True
7553b0fa0218482bba3d6c90e4f91d6c.38.16451080814140607,False
342805eb5b484d26a1d10e6c31dfc878.44.16441064425950585,False
9436f09cdf5041aebfe8366490cf8c39.36.16440849387728173,False
81d1de16d4174ab2858533502c163935.39.16450839416540449,False
3453ca5c4528427587f32cd7f6ca5b73.41.16440943753790169,False
2078523f8faa4240a11f38c4eea1f9c6.45.16459557632460011,True
34e6e19354b04d9ab67cb658fc3df19f.46.16436524528676149,False
9436f09cdf5041aebfe8366490cf8c39.36.16440830623227957,True
2827d95848a54704a80ca19e93e8a484.41.16451111468430139,False
7553b0fa0218482bba3d6c90e4f91d6c.42.16450987445310403,True
5d9c433ed0f146ae823a2618813ee770.38.16441684318950979,True
342805eb5b484d26a1d10e6c31dfc878.42.16441082025650669,False
b44919f1e3924ba59af0ea02c029c9b1.41.16457670137090029,False
2e675902ffcf4d1f88a13d01f075afd6.39.16436531517876039,False
34968177ab304796b14ce6ae31f4a942.38.16445197793490733,False
706cdd7d0c79470090069c70f52809df.39.16458199566641497,True
5f94187428ef4c8e887c707537ed8023.39.16451019713730135,False
5f94187428ef4c8e887c707537ed8023.42.16451033048620155,False
281c37d06d01405aaf7fa1d2d7838585.43.16450910095841055,False
2e675902ffcf4d1f88a13d01f075afd6.37.16440808471450479,False
2e675902ffcf4d1f88a13d01f075afd6.38.16441120454991395,False
e4b32b9444334028886e54649f71e3c1.47.16451007965783383,False
7553b0fa0218482bba3d6c90e4f91d6c.36.16451044881870549,False
8e8b045196864e13a0eab4a023937783.43.16441986162130713,False
a888e214b2014e78ae60985013d3e987.40.16441171061150337,True
2e675902ffcf4d1f88a13d01f075afd6.42.16441126017192259,False
b7fabc9d47794091b11bdcf3ed250261.42.16441709962580997,True
9436f09cdf5041aebfe8366490cf8c39.37.16441133201069407,False
2e675902ffcf4d1f88a13d01f075afd6.45.16440814878161943,False
34968177ab304796b14ce6ae31f4a942.41.16445142724050609,False
40c92ef0dafa45d3ac2e737789359166.39.16457746124381339,False
69f7c06d74384605b6c2145c654b8d4c.42.16440978961135155,True
d0ca2d7cc78c45c6bcdfe157c2c2ac92.47.16444960191710153,False
b3911a0c1f804406943e09033500c6e7.42.16458081455070077,False
8b5c732e704641468458eef7f2d6d3ab.37.16459645890371587,True
342805eb5b484d26a1d10e6c31dfc878.36.16440924686950257,False
342805eb5b484d26a1d10e6c31dfc878.42.16440811604200117,False
2e675902ffcf4d1f88a13d01f075afd6.45.16436450236034585,False
2ba46c06939c4b0cac68ad1af6e9c919.37.16457201619460001,False
845ca7f79d37432d809c1d271bff6419.40.16457856899125433,False
9436f09cdf5041aebfe8366490cf8c39.44.16440942815528999,False
6c4411ff34ab4fc9be270a86ec9c9fba.35.16450926476650035,True
192cb011af7c448dbc98085b2b5cd3f4.41.16450824597990001,False
6974acb9e1e141e1802ff981d9df24e1.45.16441984742417609,False
f4750c948a1a4f84a1fcfbdbb1b2d96e.44.16458658120480059,True
99cb9a9f360d4336a9e43e5a424fd355.39.16450974462760121,False
9436f09cdf5041aebfe8366490cf8c39.37.16440811518188105,False
e3a227d671114d5f84183af69c7f2004.42.16445004740880287,False
7553b0fa0218482bba3d6c90e4f91d6c.43.16450928780250241,False
40c92ef0dafa45d3ac2e737789359166.41.16457842120981487,False
7553b0fa0218482bba3d6c90e4f91d6c.38.16451034658040489,False
1b71fe2c5bf446ce951c1c5ea58b9065.36.16458518644130011,False
7553b0fa0218482bba3d6c90e4f91d6c.41.16450914627780175,False
9436f09cdf5041aebfe8366490cf8c39.37.16440839021828257,False
40c92ef0dafa45d3ac2e737789359166.36.16457740092591335,False
9436f09cdf5041aebfe8366490cf8c39.44.16440928470618873,False
2e675902ffcf4d1f88a13d01f075afd6.44.16441173001342901,False
34968177ab304796b14ce6ae31f4a942.35.16445170691680719,False
9436f09cdf5041aebfe8366490cf8c39.36.16441179180669723,False
9436f09cdf5041aebfe8366490cf8c39.38.16441140693999415,False
2078523f8faa4240a11f38c4eea1f9c6.41.16459551561120001,False
d160b13235cf46aaa6456b5391d256d6.40.16445059963634813,False
69f7c06d74384605b6c2145c654b8d4c.39.16440951663613297,False
4f2ca34ee5c84c03856a87eb4ac87592.40.16457365941023183,True
